file_name	ID	condition	replicate	date	time 	reference	group	reference_group
Fructose_n0_s1_f0_S1_R1_001.fastq.gz	1	Fru_n0	1	2021-04-20	F0	TRUE	1	1
Fructose_n0_s1_f1_S2_R1_001.fastq.gz	2	Fru_n0	1	2021-04-20	F1	FALSE	2	1
Fructose_n0_s1_f2_S3_R1_001.fastq.gz	3	Fru_n0	1	2021-04-20	F2	FALSE	3	1
Fructose_n0_s1_f3_S4_R1_001.fastq.gz	4	Fru_n0	1	2021-04-20	F3	FALSE	4	1
Fructose_n0_s2_f0_S5_R1_001.fastq.gz	5	Fru_n0	2	2021-04-20	F0	TRUE	1	1
Fructose_n0_s2_f1_S6_R1_001.fastq.gz	6	Fru_n0	2	2021-04-20	F1	FALSE	2	1
Fructose_n0_s2_f2_S7_R1_001.fastq.gz	7	Fru_n0	2	2021-04-20	F2	FALSE	3	1
Fructose_n0_s2_f3_S8_R1_001.fastq.gz	8	Fru_n0	2	2021-04-20	F3	FALSE	4	1
Fructose_n0_s3_f0_S9_R1_001.fastq.gz	9	Fru_n0	3	2021-04-20	F0	TRUE	1	1
Fructose_n0_s3_f1_S10_R1_001.fastq.gz	10	Fru_n0	3	2021-04-20	F1	FALSE	2	1
Fructose_n0_s3_f2_S11_R1_001.fastq.gz	11	Fru_n0	3	2021-04-20	F2	FALSE	3	1
Fructose_n0_s3_f3_S12_R1_001.fastq.gz	12	Fru_n0	3	2021-04-20	F3	FALSE	4	1
Formate_n0_s1_f0_S13_R1_001.fastq.gz	13	For_n0	1	2021-04-20	F0	TRUE	5	5
Formate_n0_s1_f1_S14_R1_001.fastq.gz	14	For_n0	1	2021-04-20	F1	FALSE	6	5
Formate_n0_s1_f2_S15_R1_001.fastq.gz	15	For_n0	1	2021-04-20	F2	FALSE	7	5
Formate_n0_s1_f3_S16_R1_001.fastq.gz	16	For_n0	1	2021-04-20	F3	FALSE	8	5
Formate_n0_s2_f0_S17_R1_001.fastq.gz	17	For_n0	2	2021-04-20	F0	TRUE	5	5
Formate_n0_s2_f1_S18_R1_001.fastq.gz	18	For_n0	2	2021-04-20	F1	FALSE	6	5
Formate_n0_s2_f2_S19_R1_001.fastq.gz	19	For_n0	2	2021-04-20	F2	FALSE	7	5
Formate_n0_s2_f3_S20_R1_001.fastq.gz	20	For_n0	2	2021-04-20	F3	FALSE	8	5
Formate_n0_s3_f0_S21_R1_001.fastq.gz	21	For_n0	3	2021-04-20	F0	TRUE	5	5
Formate_n0_s3_f1_S22_R1_001.fastq.gz	22	For_n0	3	2021-04-20	F1	FALSE	6	5
Formate_n0_s3_f2_S23_R1_001.fastq.gz	23	For_n0	3	2021-04-20	F2	FALSE	7	5
Formate_n0_s3_f3_S24_R1_001.fastq.gz	24	For_n0	3	2021-04-20	F3	FALSE	8	5
Fructose_n1_s1_f0_S25_R1_001.fastq.gz	25	Fru_n1	1	2021-04-20	F0	TRUE	9	9
Fructose_n1_s1_f1_S26_R1_001.fastq.gz	26	Fru_n1	1	2021-04-20	F1	FALSE	10	9
Fructose_n1_s1_f2_S27_R1_001.fastq.gz	27	Fru_n1	1	2021-04-20	F2	FALSE	11	9
Fructose_n1_s1_f3_S28_R1_001.fastq.gz	28	Fru_n1	1	2021-04-20	F3	FALSE	12	9
Fructose_n1_s2_f0_S29_R1_001.fastq.gz	29	Fru_n1	2	2021-04-20	F0	TRUE	9	9
Fructose_n1_s2_f1_S30_R1_001.fastq.gz	30	Fru_n1	2	2021-04-20	F1	FALSE	10	9
Fructose_n1_s2_f2_S31_R1_001.fastq.gz	31	Fru_n1	2	2021-04-20	F2	FALSE	11	9
Fructose_n1_s2_f3_S32_R1_001.fastq.gz	32	Fru_n1	2	2021-04-20	F3	FALSE	12	9
Fructose_n1_s3_f0_S33_R1_001.fastq.gz	33	Fru_n1	3	2021-04-20	F0	TRUE	9	9
Fructose_n1_s3_f1_S34_R1_001.fastq.gz	34	Fru_n1	3	2021-04-20	F1	FALSE	10	9
Fructose_n1_s3_f2_S35_R1_001.fastq.gz	35	Fru_n1	3	2021-04-20	F2	FALSE	11	9
Fructose_n1_s3_f3_S36_R1_001.fastq.gz	36	Fru_n1	3	2021-04-20	F3	FALSE	12	9
Formate_n1_s1_f0_S37_R1_001.fastq.gz	37	For_n1	1	2021-04-20	F0	TRUE	13	13
Formate_n1_s1_f1_S38_R1_001.fastq.gz	38	For_n1	1	2021-04-20	F1	FALSE	14	13
Formate_n1_s1_f2_S39_R1_001.fastq.gz	39	For_n1	1	2021-04-20	F2	FALSE	15	13
Formate_n1_s1_f3_S40_R1_001.fastq.gz	40	For_n1	1	2021-04-20	F3	FALSE	16	13
Formate_n1_s2_f0_S41_R1_001.fastq.gz	41	For_n1	2	2021-04-20	F0	TRUE	13	13
Formate_n1_s2_f1_S42_R1_001.fastq.gz	42	For_n1	2	2021-04-20	F1	FALSE	14	13
Formate_n1_s2_f2_S43_R1_001.fastq.gz	43	For_n1	2	2021-04-20	F2	FALSE	15	13
Formate_n1_s2_f3_S44_R1_001.fastq.gz	44	For_n1	2	2021-04-20	F3	FALSE	16	13
Formate_n1_s3_f0_S45_R1_001.fastq.gz	45	For_n1	3	2021-04-20	F0	TRUE	13	13
Formate_n1_s3_f1_S46_R1_001.fastq.gz	46	For_n1	3	2021-04-20	F1	FALSE	14	13
Formate_n1_s3_f2_S47_R1_001.fastq.gz	47	For_n1	3	2021-04-20	F2	FALSE	15	13
Formate_n1_s3_f3_S48_R1_001.fastq.gz	48	For_n1	3	2021-04-20	F3	FALSE	16	13
